Concept,elb_concept/prefLabel?,broader_pomoc,POMOC,literackie tak/nie/nie_wiem,exactMatch,narrowMatch,broadMatch,LOC_ID/exactMatch?close?,altLabel fin_a,Fi_Id/exactMatch?close?,altLabel cze_a,Cze_ID/exactMatch?close?,altLabel field_a_esp,esp_ID_exactMatch?close?,slownik_Hubar/exactMatch?close?,altLabel_pl
libri_thesauri_388,Argentine literature,,FALSE,tak,['http://www.wikidata.org/entity/Q645973'],,,['sh85007084'],[],[],['argentinská literatura'],['ph118596'],[],[],[],
libri_thesauri_10969,Armenian literature,['literature'],FALSE,tak,['http://www.wikidata.org/entity/Q684384'],,['libri_thesauri_13826'],['sh85007291'],['armeniankielinen kirjallisuus'],['http://www.yso.fi/onto/yso/p29313'],['arménská literatura'],['ph135246'],[],[],[],
libri_thesauri_10838,art,,FALSE,nie wiem,['http://www.wikidata.org/entity/Q735'],"['libri_thesauri_404', 'libri_thesauri_3040', 'libri_thesauri_8950', 'libri_thesauri_3088', 'libri_thesauri_8469', 'libri_thesauri_10914', 'libri_thesauri_5528', 'libri_thesauri_6554', 'libri_thesauri_8432', 'libri_thesauri_11934', 'libri_thesauri_2051', 'libri_thesauri_14502', 'libri_thesauri_496', 'libri_thesauri_2818', 'libri_thesauri_4937', 'libri_thesauri_5676', 'libri_thesauri_411', 'libri_thesauri_454', 'libri_thesauri_402', 'libri_thesauri_363', 'libri_thesauri_13583', 'libri_thesauri_9795', 'libri_thesauri_9510', 'libri_thesauri_361', 'libri_thesauri_2267', 'libri_thesauri_4939', 'libri_thesauri_401', 'libri_thesauri_943', 'libri_thesauri_4934', 'libri_thesauri_5179', 'libri_thesauri_7139', 'libri_thesauri_9860', 'libri_thesauri_5674', 'libri_thesauri_10213', 'libri_thesauri_11775', 'libri_thesauri_14503', 'libri_thesauri_9394', 'libri_thesauri_8236']",,['sh85007461'],['taide'],['http://www.yso.fi/onto/yso/p2851'],['umění'],['ph116538'],['Obras de arte'],['XX3570611'],[],
libri_thesauri_421,arts festival,['cultural festival'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q4801521'],"['libri_thesauri_6276', 'libri_thesauri_1036', 'libri_thesauri_3486', 'libri_thesauri_2034', 'libri_thesauri_6538']",['libri_thesauri_993'],['sh85007997'],[],[],['umělecké festivaly a přehlídky'],['ph135220'],[],[],[],
libri_thesauri_5546,artist's book,"['visual arts', 'book', 'literary work']",FALSE,tak,['http://www.wikidata.org/entity/Q1062404'],,"['libri_thesauri_9510', 'libri_thesauri_6620', 'libri_thesauri_4714']",['sh85008302'],['taiteilijakirjat'],['http://www.yso.fi/onto/yso/p13272'],['autorská kniha'],['ph767231'],[],[],[],
libri_thesauri_446,Australian literature,,FALSE,tak,['http://www.wikidata.org/entity/Q781919'],,,['sh85009640'],[],[],['australská literatura'],['ph196660'],[],[],[],
libri_thesauri_13824,memoir,['literary work'],FALSE,tak,['http://www.wikidata.org/entity/Q112983'],,['libri_thesauri_4714'],['sh85010050'],['muistelmat'],['http://www.yso.fi/onto/yso/p8111'],[],[],[],[],[],
libri_thesauri_7851,avant-garde,['style'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q102932'],['libri_thesauri_470'],['libri_thesauri_11810'],['sh85010494'],['avantgarde'],['http://www.yso.fi/onto/yso/p18449'],['umělecká avantgarda'],['ph126877'],[],[],[],
libri_thesauri_531,Belgian literature,,FALSE,tak,['http://www.wikidata.org/entity/Q792357'],['libri_thesauri_1364'],,['sh85012945'],[],[],['belgická literatura'],['ph118795'],[],[],[],
libri_thesauri_552,Biblical commentary,['biblical studies'],FALSE,tak,['http://www.wikidata.org/entity/Q11611056'],,['libri_thesauri_560'],['sh85013597'],[],[],['biblické komentáře'],['ph684318'],[],[],[],
libri_thesauri_553,biblical criticism,['biblical studies'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q373665'],"['libri_thesauri_2195', 'libri_thesauri_3427']",['libri_thesauri_560'],['sh85013617'],[],[],"['biblická exegeze', 'biblická interpretace', 'biblické výklady']","['ph118844', 'ph118847']",[],[],[],
libri_thesauri_11712,Bible story,['narrative'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q856663'],,['libri_thesauri_9974'],['sh85013820'],['raamatunkertomukset'],['http://www.yso.fi/onto/yso/p4009'],['biblické příběhy'],['ph118858'],[],[],[],
libri_thesauri_564,bibliographer,,FALSE,nie wiem,['http://www.wikidata.org/entity/Q10429346'],,,['sh85013831'],[],[],"['bibliografky', 'bibliografové']","['ph775929', 'ph118870']",[],[],[],
libri_thesauri_4355,bibliography,"['catalogue', 'branch of science']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q134995'],"['libri_thesauri_2187', 'libri_thesauri_1674', 'libri_thesauri_3064', 'libri_thesauri_565', 'libri_thesauri_5045', 'libri_thesauri_3395', 'libri_thesauri_7658', 'libri_thesauri_8207', 'libri_thesauri_5677', 'libri_thesauri_8313']","['libri_thesauri_9494', 'libri_thesauri_11399']",['sh85013838'],"['bibliografia (tieteet)', 'bibliografiat']","['http://www.yso.fi/onto/yso/p10794', 'http://www.yso.fi/onto/yso/p3462']",['bibliografie'],['ph118867'],[],[],[],
libri_thesauri_12282,Biedermeier,['style'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q154432'],,['libri_thesauri_11810'],['sh85013928'],['biedermeier'],['http://www.yso.fi/onto/yso/p5079'],['biedermeier (umění)'],['ph202889'],[],[],[],
libri_thesauri_582,biographer,,FALSE,nie wiem,['http://www.wikidata.org/entity/Q864380'],,,['sh85014148'],[],[],['biografisté'],['ph1017318'],[],[],[],
libri_thesauri_584,biographical fiction,,FALSE,tak,['http://www.wikidata.org/entity/Q66744724'],,,['sh85014149'],[],[],[],[],['Novela biográfica'],['XX5370479'],[],
libri_thesauri_592,blank verse,"['metre', 'verse']",FALSE,tak,['http://www.wikidata.org/entity/Q739672'],,"['libri_thesauri_11081', 'libri_thesauri_3712']",['sh85014770'],[],[],['blankvers'],['ph462052'],['Verso blanco'],['XX5362578'],[],
libri_thesauri_573,bibliophile,['bibliophilia'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q18120029'],,['libri_thesauri_8212'],['sh85015611'],[],[],['bibliofilové'],['ph139064'],[],[],[],
libri_thesauri_6620,book,"['information resource', 'publication']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q571'],"['libri_thesauri_4608', 'libri_thesauri_1762', 'libri_thesauri_5546', 'libri_thesauri_3', 'libri_thesauri_2472', 'libri_thesauri_563', 'libri_thesauri_4871', 'libri_thesauri_1606', 'libri_thesauri_5717', 'libri_thesauri_13671', 'libri_thesauri_1327', 'libri_thesauri_13039', 'libri_thesauri_1992', 'libri_thesauri_1769', 'libri_thesauri_5886', 'libri_thesauri_14482', 'libri_thesauri_14483', 'libri_thesauri_8683', 'libri_thesauri_4409', 'libri_thesauri_7159', 'libri_thesauri_6576', 'libri_thesauri_4725', 'libri_thesauri_4597', 'libri_thesauri_11198', 'libri_thesauri_5239', 'libri_thesauri_10071', 'libri_thesauri_13969', 'libri_thesauri_12860', 'libri_thesauri_4999', 'libri_thesauri_9003', 'libri_thesauri_13038', 'libri_thesauri_6752', 'libri_thesauri_5266', 'libri_thesauri_5240', 'libri_thesauri_12089', 'libri_thesauri_5796', 'libri_thesauri_12334', 'libri_thesauri_2217']","['libri_thesauri_1800', 'libri_thesauri_6572']",['sh85015738'],['kirjat'],['http://www.yso.fi/onto/yso/p156'],['knihy'],['ph114930'],[],[],[],
libri_thesauri_627,breviary,"['liturgical book', 'prayer book']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q225672'],,"['libri_thesauri_2062', 'libri_thesauri_9164']",['sh85016762'],[],[],['breviáře'],['ph114195'],[],[],[],
libri_thesauri_633,broadside,"['incunable', 'old prints']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q1433985'],,"['libri_thesauri_13038', 'libri_thesauri_2936']",['sh85017011'],[],[],['jednolisty'],['ph114824'],[],[],[],
libri_thesauri_8380,Bulgarian literature,['literature'],FALSE,tak,['http://www.wikidata.org/entity/Q2267821'],['libri_thesauri_1608'],['libri_thesauri_13826'],['sh85017905'],['bulgariankielinen kirjallisuus'],['http://www.yso.fi/onto/yso/p19622'],['bulharská literatura'],['ph119024'],[],[],[],
libri_thesauri_641,burlesque,,FALSE,tak,['http://www.wikidata.org/entity/Q217117'],,,['sh85018113'],[],[],['burlesky'],['ph321702'],[],[],[],
libri_thesauri_642,Burmese literature,['literature'],FALSE,tak,['http://www.wikidata.org/entity/Q3256763'],,['libri_thesauri_13826'],['sh85018135'],[],[],['barmská literatura'],['ph118758'],[],[],[],
libri_thesauri_10858,Belarusian literature,"['East Slavic literature', 'literature']",FALSE,tak,['http://www.wikidata.org/entity/Q2350342'],['libri_thesauri_1602'],"['libri_thesauri_1144', 'libri_thesauri_13826']",['sh85018440'],['valkovenäjänkielinen kirjallisuus'],['http://www.yso.fi/onto/yso/p28609'],['běloruská literatura'],['ph119075'],[],[],[],
libri_thesauri_647,Byzantine literature,"['Greek literature', 'medieval literature']",FALSE,tak,['http://www.wikidata.org/entity/Q2265137'],,"['libri_thesauri_3942', 'libri_thesauri_2156']",['sh85018527'],[],[],['byzantská literatura'],['ph128261'],[],[],[],
libri_thesauri_13140,calque,"['lexicology', 'loanword']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q204826'],,"['libri_thesauri_12333', 'libri_thesauri_13138']",['sh85019036'],['käännöslainat'],['http://www.yso.fi/onto/yso/p6723'],[],[],[],[],[],
libri_thesauri_670,Canadian literature,,FALSE,tak,['http://www.wikidata.org/entity/Q1723523'],"['libri_thesauri_668', 'libri_thesauri_669', 'libri_thesauri_671']",,['sh85019388'],[],[],['kanadská literatura'],['ph121413'],[],[],[],
libri_thesauri_9327,comics character,,FALSE,tak,['http://www.wikidata.org/entity/Q1114461'],,,['sh85020529'],['sarjakuvahahmot'],['http://www.yso.fi/onto/yso/p22260'],[],[],[],[],[],
libri_thesauri_4129,cataloging,['bibliographic control'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q3535655'],"['libri_thesauri_2914', 'libri_thesauri_567', 'libri_thesauri_5598']",['libri_thesauri_14385'],['sh85020816'],['luettelointi'],['http://www.yso.fi/onto/yso/p10398'],['katalogizace'],['ph114876'],[],[],[],
libri_thesauri_9494,catalogue,"['classification', 'literary work']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q2352616'],"['libri_thesauri_437', 'libri_thesauri_395', 'libri_thesauri_8207', 'libri_thesauri_14279', 'libri_thesauri_4355', 'libri_thesauri_7566', 'libri_thesauri_11863', 'libri_thesauri_4945', 'libri_thesauri_10145', 'libri_thesauri_9482', 'libri_thesauri_12764', 'libri_thesauri_8418', 'libri_thesauri_8203', 'libri_thesauri_14278', 'libri_thesauri_683']","['libri_thesauri_5278', 'libri_thesauri_4714']",['sh85020898'],['luettelot'],['http://www.yso.fi/onto/yso/p2281'],['katalogy'],['ph121510'],[],[],[],
libri_thesauri_10985,chapbook,['literature'],FALSE,tak,['http://www.wikidata.org/entity/Q2558308'],,['libri_thesauri_13826'],['sh85022564'],['skillinglitteratur'],['http://www.yso.fi/onto/yso/p29397'],[],[],[],[],[],
